Date,Close,Revenue,GDP
2019/3/6,111.75,32.5,21031.86297
2019/3/7,110.389999,32.5,21031.86297
2019/3/8,110.510002,32.5,21031.86297
2019/3/11,112.830002,32.5,21031.86297
2019/3/12,113.620003,32.5,21031.86297
2019/3/13,114.5,32.5,21031.86297
2019/3/14,114.589996,32.5,21031.86297
2019/3/15,115.910004,32.5,21031.86297
2019/3/18,117.57,32.5,21031.86297
2019/3/19,117.650002,32.5,21031.86297
2019/3/20,117.519997,32.5,21031.86297
2019/3/21,120.220001,32.5,21031.86297
2019/3/22,117.050003,32.5,21031.86297
2019/3/25,117.660004,32.5,21031.86297
2019/3/26,117.910004,32.5,21031.86297
2019/3/27,116.769997,32.5,21031.86297
2019/3/28,116.93,32.5,21031.86297
2019/3/29,117.940002,32.5,21031.86297
2019/4/1,119.019997,30.6,21197.89379
2019/4/2,119.190002,30.6,21197.89379
2019/4/3,119.970001,30.6,21197.89379
2019/4/4,119.360001,30.6,21197.89379
2019/4/5,119.889999,30.6,21197.89379
2019/4/8,119.93,30.6,21197.89379
2019/4/9,119.279999,30.6,21197.89379
2019/4/10,120.190002,30.6,21197.89379
2019/4/11,120.330002,30.6,21197.89379
2019/4/12,120.949997,30.6,21197.89379
2019/4/15,121.050003,30.6,21197.89379
2019/4/16,120.769997,30.6,21197.89379
2019/4/17,121.769997,30.6,21197.89379
2019/4/18,123.370003,30.6,21197.89379
2019/4/22,123.760002,30.6,21197.89379
2019/4/23,125.440002,30.6,21197.89379
2019/4/24,125.010002,30.6,21197.89379
2019/4/25,129.149994,30.6,21197.89379
2019/4/26,129.889999,30.6,21197.89379
2019/4/29,129.770004,30.6,21197.89379
2019/4/30,130.600006,30.6,21197.89379
2019/5/1,127.879997,30.6,21274.89376
2019/5/2,126.209999,30.6,21274.89376
2019/5/3,128.899994,30.6,21274.89376
2019/5/6,128.149994,30.6,21274.89376
2019/5/7,125.519997,30.6,21274.89376
2019/5/8,125.510002,30.6,21274.89376
